rl_number,name,status,address,valid_until,source_date,data_status
RL-1001,Padma Overseas Employment Ltd.,Active,"Motijheel, Dhaka",2027-03-31,2026-09-01,SYNTHETIC
RL-1002,Meghna International Recruiting Agency,Active,"Farmgate, Dhaka",2027-01-15,2026-09-01,SYNTHETIC
RL-1003,Jamuna Manpower Services Ltd.,Active,"Agrabad, Chattogram",2026-12-31,2026-09-01,SYNTHETIC
RL-1004,Karnaphuli Overseas Ltd.,Active,"Patenga, Chattogram",2027-06-30,2026-09-01,SYNTHETIC
RL-1005,Sundarban Employment Agency Ltd.,Active,"Khalishpur, Khulna",2027-02-28,2026-09-01,SYNTHETIC
RL-1006,Teesta Overseas Ltd.,Active,"Rangpur Sadar, Rangpur",2027-05-31,2026-09-01,SYNTHETIC
RL-1007,Brahmaputra Recruiting Services Ltd.,Suspended,"Uttara, Dhaka",2026-11-30,2026-09-01,SYNTHETIC
RL-1008,Surma Overseas Employment,Active,"Zindabazar, Sylhet",2027-04-30,2026-09-01,SYNTHETIC
RL-1009,Barak Manpower International Ltd.,Active,"Beanibazar, Sylhet",2027-07-31,2026-09-01,SYNTHETIC
RL-1010,Arial Khan Overseas Ltd.,Expired,"Babubazar, Dhaka",2025-12-31,2026-09-01,SYNTHETIC
RL-1011,Chitra Recruiting Agency,Active,"Jashore Sadar, Jashore",2027-08-31,2026-09-01,SYNTHETIC
RL-1012,Nabaganga Overseas Employment Ltd.,Active,"Kushtia Sadar, Kushtia",2027-03-31,2026-09-01,SYNTHETIC
RL-1013,Gorai Manpower Services,Active,"Rajshahi Sadar, Rajshahi",2026-10-31,2026-09-01,SYNTHETIC
RL-1014,Atrai Overseas Ltd.,Cancelled,"Natore Sadar, Natore",2026-06-30,2026-09-01,SYNTHETIC
RL-1015,Karatoya Recruiting Agency Ltd.,Active,"Bogra Sadar, Bogra",2027-09-30,2026-09-01,SYNTHETIC
RL-1016,Turag Overseas Employment,Active,"Mymensingh Sadar, Mymensingh",2027-01-31,2026-09-01,SYNTHETIC
RL-1017,Dhaleswari Manpower Ltd.,Active,"Kishoreganj Sadar, Kishoreganj",2027-06-30,2026-09-01,SYNTHETIC
RL-1018,Meghna-Gumti Overseas Ltd.,Suspended,"Cumilla Sadar, Cumilla",2026-12-31,2026-09-01,SYNTHETIC
RL-1019,Padma-Kushiyara Employment Agency,Active,"Pabna Sadar, Pabna",2027-02-28,2026-09-01,SYNTHETIC
RL-1020,Sitalakhya Recruiting Services Ltd.,Active,"Narayanganj Sadar, Narayanganj",2027-05-31,2026-09-01,SYNTHETIC
RL-1021,Bhairab Overseas Employment Ltd.,Active,"Tangail Sadar, Tangail",2027-04-30,2026-09-01,SYNTHETIC
RL-1022,Kobadak Manpower International,Expired,"Chuadanga Sadar, Chuadanga",2025-10-31,2026-09-01,SYNTHETIC
RL-1023,Mahananda Overseas Agency,Active,"Chapainawabganj Sadar, Chapainawabganj",2027-11-30,2026-09-01,SYNTHETIC
RL-1024,Punarbhaba Recruiting Ltd.,Active,"Dinajpur Sadar, Dinajpur",2027-08-31,2026-09-01,SYNTHETIC
RL-1025,Dharla Manpower Services Ltd.,Active,"Nilphamari Sadar, Nilphamari",2027-03-31,2026-09-01,SYNTHETIC
RL-1026,Sangu Overseas Employment Ltd.,Active,"Bandarban Sadar, Bandarban",2027-12-31,2026-09-01,SYNTHETIC
RL-1027,Matamuhuri Recruiting Agency,Active,"Cox's Bazar Sadar, Cox's Bazar",2027-07-31,2026-09-01,SYNTHETIC
RL-1028,Feni Manpower International Ltd.,Suspended,"Feni Sadar, Feni",2027-01-31,2026-09-01,SYNTHETIC
RL-1029,Muhuri Overseas Employment,Active,"Noakhali Sadar, Noakhali",2027-06-30,2026-09-01,SYNTHETIC
RL-1030,Titas Recruiting Services Ltd.,Active,"Brahmanbaria Sadar, Brahmanbaria",2027-09-30,2026-09-01,SYNTHETIC
RL-1031,Kushiyara Overseas Ltd.,Active,"Moulvibazar Sadar, Moulvibazar",2027-02-28,2026-09-01,SYNTHETIC
RL-1032,Padma-Meghna Recruitment Ltd.,Cancelled,"Keraniganj, Dhaka",2026-03-31,2026-09-01,SYNTHETIC
RL-1033,Halda Manpower Agency,Active,"Patuakhali Sadar, Patuakhali",2027-10-31,2026-09-01,SYNTHETIC
RL-1034,Andharmanik Overseas Employment,Active,"Barguna Sadar, Barguna",2027-05-31,2026-09-01,SYNTHETIC
RL-1035,Baleshwar Recruiting Services Ltd.,Active,"Pirojpur Sadar, Pirojpur",2027-08-31,2026-09-01,SYNTHETIC
RL-1036,Bishkhali Manpower Ltd.,Expired,"Bagerhat Sadar, Bagerhat",2026-01-31,2026-09-01,SYNTHETIC
RL-1037,Madhumati Overseas Employment Ltd.,Active,"Faridpur Sadar, Faridpur",2027-11-30,2026-09-01,SYNTHETIC
RL-1038,Kumar Recruiting Agency,Active,"Gopalganj Sadar, Gopalganj",2027-04-30,2026-09-01,SYNTHETIC
RL-1039,Arial Khan Manpower Services Ltd.,Active,"Madaripur Sadar, Madaripur",2027-03-31,2026-09-01,SYNTHETIC
RL-1040,Shitalakshya Overseas Ltd.,Suspended,"Munshiganj Sadar, Munshiganj",2026-12-31,2026-09-01,SYNTHETIC
